#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2012 01 04 14 10 999 99.0 99.0  2.01 11.76  8.93 348 9999.0 999.0  23.8 999.0 99.0 99.00
2012 01 04 14 40 999 99.0 99.0  2.27 12.50  9.46   1 9999.0 999.0  23.8 999.0 99.0 99.00
2012 01 04 15 10 999 99.0 99.0  2.01 13.33  8.71 352 9999.0 999.0  23.8 999.0 99.0 99.00
2012 01 04 15 40 999 99.0 99.0  2.19 15.38  9.47 352 9999.0 999.0  23.9 999.0 99.0 99.00
2012 01 04 16 10 999 99.0 99.0  1.93 14.29  8.81 358 9999.0 999.0  23.8 999.0 99.0 99.00
2012 01 04 16 40 999 99.0 99.0  2.04 14.29  8.89 349 9999.0 999.0  23.8 999.0 99.0 99.00
2012 01 04 17 10 999 99.0 99.0  2.15 16.67  9.51 356 9999.0 999.0  23.8 999.0 99.0 99.00
2012 01 04 17 40 999 99.0 99.0  2.14 16.67  9.48 354 9999.0 999.0  23.8 999.0 99.0 99.00
2012 01 04 18 10 999 99.0 99.0  2.20 13.33  9.21 359 9999.0 999.0  23.9 999.0 99.0 99.00
2012 01 04 18 40 999 99.0 99.0  2.13 12.50  8.84 352 9999.0 999.0  23.8 999.0 99.0 99.00
2012 01 04 19 10 999 99.0 99.0  2.27 15.38  9.31 349 9999.0 999.0  23.8 999.0 99.0 99.00
2012 01 04 19 40 999 99.0 99.0  2.18 16.67  8.70 355 9999.0 999.0  23.9 999.0 99.0 99.00
2012 01 04 20 10 999 99.0 99.0  2.19 16.67  8.65 354 9999.0 999.0  23.9 999.0 99.0 99.00
2012 01 04 20 40 999 99.0 99.0  2.28 13.33  9.06 355 9999.0 999.0  23.9 999.0 99.0 99.00
2012 01 04 21 10 999 99.0 99.0  2.23 16.67  8.73 354 9999.0 999.0  23.9 999.0 99.0 99.00
2012 01 04 21 40 999 99.0 99.0  2.30 16.67  8.81 349 9999.0 999.0  23.9 999.0 99.0 99.00
2012 01 04 22 10 999 99.0 99.0  2.58 16.67  9.61 355 9999.0 999.0  23.8 999.0 99.0 99.00
2012 01 04 22 40 999 99.0 99.0  2.55 12.50  8.65 355 9999.0 999.0  23.8 999.0 99.0 99.00
2012 01 04 23 10 999 99.0 99.0  2.32 16.67  8.26 347 9999.0 999.0  23.8 999.0 99.0 99.00
2012 01 04 23 40 999 99.0 99.0  2.43 12.50  8.82 355 9999.0 999.0  23.8 999.0 99.0 99.00
2012 01 05 00 10 999 99.0 99.0  2.61 13.33  8.77 355 9999.0 999.0  23.9 999.0 99.0 99.00
2012 01 05 00 40 999 99.0 99.0  2.42 15.38  8.71 344 9999.0 999.0  23.8 999.0 99.0 99.00
2012 01 05 01 10 999 99.0 99.0  2.73 12.50  9.20 354 9999.0 999.0  23.9 999.0 99.0 99.00
2012 01 05 01 40 999 99.0 99.0  2.36 12.50  8.40 355 9999.0 999.0  23.9 999.0 99.0 99.00
2012 01 05 02 10 999 99.0 99.0  2.23 11.76  7.92 356 9999.0 999.0  23.9 999.0 99.0 99.00
2012 01 05 02 40 999 99.0 99.0  2.30 13.33  8.25 351 9999.0 999.0  23.9 999.0 99.0 99.00
2012 01 05 03 10 999 99.0 99.0  2.51 15.38  8.06 351 9999.0 999.0  23.9 999.0 99.0 99.00
2012 01 05 03 40 999 99.0 99.0  2.40 15.38  7.80 342 9999.0 999.0  23.9 999.0 99.0 99.00
2012 01 05 04 10 999 99.0 99.0  2.42 15.38  8.31 348 9999.0 999.0  23.8 999.0 99.0 99.00
2012 01 05 16 10 999 99.0 99.0  2.06 13.33  6.87 351 9999.0 999.0  23.8 999.0 99.0 99.00
2012 01 05 16 40 999 99.0 99.0  2.04 14.29  7.12   1 9999.0 999.0  23.8 999.0 99.0 99.00
2012 01 05 17 10 999 99.0 99.0  2.03 12.50  7.13 348 9999.0 999.0  23.8 999.0 99.0 99.00
2012 01 05 17 40 999 99.0 99.0  2.12 12.50  7.01 347 9999.0 999.0  23.8 999.0 99.0 99.00
2012 01 05 18 10 999 99.0 99.0  2.15 12.50  7.05 351 9999.0 999.0  23.8 999.0 99.0 99.00
2012 01 05 18 40 999 99.0 99.0  2.05 13.33  6.83   2 9999.0 999.0  23.8 999.0 99.0 99.00
2012 01 05 19 10 999 99.0 99.0  2.14 11.76  7.17 351 9999.0 999.0  23.8 999.0 99.0 99.00
2012 01 05 19 40 999 99.0 99.0  2.01 10.53  6.42 355 9999.0 999.0  23.8 999.0 99.0 99.00
2012 01 05 20 10 999 99.0 99.0  2.08 11.76  6.81 348 9999.0 999.0  23.8 999.0 99.0 99.00
2012 01 05 20 40 999 99.0 99.0  1.93 11.11  6.47 354 9999.0 999.0  23.8 999.0 99.0 99.00
2012 01 05 21 10 999 99.0 99.0  2.06 11.76  6.80   1 9999.0 999.0  23.8 999.0 99.0 99.00
2012 01 05 21 40 999 99.0 99.0  2.10 13.33  6.95 359 9999.0 999.0  23.8 999.0 99.0 99.00
2012 01 05 22 10 999 99.0 99.0  1.88 14.29  6.52 351 9999.0 999.0  23.9 999.0 99.0 99.00
2012 01 05 22 40 999 99.0 99.0  1.98 13.33  6.93 358 9999.0 999.0  24.0 999.0 99.0 99.00
2012 01 05 23 10 999 99.0 99.0  2.01 11.76  6.61 354 9999.0 999.0  23.9 999.0 99.0 99.00
2012 01 05 23 40 999 99.0 99.0  2.12 14.29  6.87 354 9999.0 999.0  23.9 999.0 99.0 99.00
2012 01 06 00 10 999 99.0 99.0  2.15 12.50  6.96 347 9999.0 999.0  23.9 999.0 99.0 99.00
2012 01 06 00 40 999 99.0 99.0  2.15 12.50  6.64 347 9999.0 999.0  23.9 999.0 99.0 99.00
2012 01 06 01 10 999 99.0 99.0  2.16 15.38  6.60 356 9999.0 999.0  23.9 999.0 99.0 99.00
2012 01 06 01 40 999 99.0 99.0  2.18 13.33  6.37 341 9999.0 999.0  23.9 999.0 99.0 99.00
2012 01 06 02 10 999 99.0 99.0  2.21 15.38  6.56   6 9999.0 999.0  23.9 999.0 99.0 99.00
2012 01 06 02 40 999 99.0 99.0  2.33 15.38  6.96  17 9999.0 999.0  23.9 999.0 99.0 99.00
2012 01 06 03 10 999 99.0 99.0  2.45 15.38  7.09   6 9999.0 999.0  23.9 999.0 99.0 99.00
2012 01 06 03 40 999 99.0 99.0  2.27 11.76  6.66 358 9999.0 999.0  23.9 999.0 99.0 99.00
2012 01 06 04 10 999 99.0 99.0  2.37 14.29  6.85   2 9999.0 999.0  23.9 999.0 99.0 99.00
2012 01 06 04 40 999 99.0 99.0  2.32 15.38  6.92  12 9999.0 999.0  23.9 999.0 99.0 99.00
